text	source_full_code	numeric_pinyin	marked_pinyin
沾湿了	7ffa9JJJ\eee	zhan1 shi1 le5	zhān shī le
沾满了	7ffa-ssz\eee	zhan1 man3 le5	zhān mǎn le
沿用了	ylda`me/\eee	yan2 yong4 le5	yán yòng le
沿袭了	ylda1lkj\eee	yan2 xi2 le5	yán xí le
沿讹	ylda'wer	yan2 e2	yán é
泃沫	3mmm-rew	ju1 mo4	jū mò
泄了	1jcx\eee	xie4 le5	xiè le
泄了气	1jcx\eee2jkl	xie4 le5 qi4	xiè le qì
泄密了	1jcx-jkl\eee	xie4 mi4 le5	xiè mì le
泄愤了	1jcx[vcz\eee	xie4 fen4 le5	xiè fèn le
泄气了	1jcx2jkl\eee	xie4 qi4 le5	xiè qì le
泄漏了	1jcx\reo\eee	xie4 lou4 le5	xiè lòu le
泄露了	1jcx\reo\eee	xie4 lou4 le5	xiè lòu le
法不阿贵	[sssbuio'rrrgucl	fa3 bu4 e1 gui4	fǎ bù ē guì
法办了	[sssbfdz\eee	fa3 ban4 le5	fǎ bàn le
法厄同	[sss'rewtoe;	fa3 e4 tong2	fǎ è tóng
法子了	[sss6KKK\eee	fa3 zi5 le5	fǎ zi le
法宝了	[sssbsso\eee	fa3 bao3 le5	fǎ bǎo le
法术了	[sss9uio\eee	fa3 shu4 le5	fǎ shù le
泚额	5LLL'wer	ci3 e2	cǐ é
泛上了	[fdz9fd/\eee	fan4 shang4 le5	fàn shàng le
泛了吧	[fdz\eeebddd	fan4 le5 ba5	fàn le ba
泛出了	[fdz8uuu\eee	fan4 chu1 le5	fàn chū le
泛滥了	[fdz\fdz\eee	fan4 lan4 le5	fàn làn le
泛白了	[fdzbsdj\eee	fan4 bai2 le5	fàn bái le
泛红了	[fdzhoe;\eee	fan4 hong2 le5	fàn hóng le
泛起了	[fdz2lll\eee	fan4 qi3 le5	fàn qǐ le
泛黄了	[fdzhod;\eee	fan4 huang2 le5	fàn huáng le
泡上了	pfdo9fd/\eee	pao4 shang4 le5	pào shàng le
泡久了	pfdo3lwo\eee	pao4 jiu3 le5	pào jiǔ le
泡了	pfdo\eee	pao4 le5	pào le
泡了吧	pfdo\eeebddd	pao4 le5 ba5	pào le ba
泡了汤	pfdo\eeetff;	pao4 le5 tang1	pào le tāng
泡了的	pfdo\eee]eee	pao4 le5 de5	pào le de
泡了茶	pfdo\eee8sdf	pao4 le5 cha2	pào le chá
泡到了	pfdo]fdo\eee	pao4 dao4 le5	pào dào le
泡发了	pfdo[fff\eee	pao4 fa1 le5	pào fā le
泡在了	pfdo6fdl\eee	pao4 zai4 le5	pào zài le
泡坏了	pfdohudl\eee	pao4 huai4 le5	pào huài le
泡好了	pfdohsso\eee	pao4 hao3 le5	pào hǎo le
泡完了	pfdo=oda\eee	pao4 wan2 le5	pào wán le
泡椒末	pfdo3jfu-rew	pao4 jiao1 mo4	pào jiāo mò
泡汤了	pfdotff;\eee	pao4 tang1 le5	pào tāng le
泡沫	pfdo-rew	pao4 mo4	pào mò
泡沫中	pfdo-rew7ur;	pao4 mo4 zhong1	pào mò zhōng
泡沫剂	pfdo-rew3jkl	pao4 mo4 ji4	pào mò jì
泡沫剧	pfdo-rew3m,.	pao4 mo4 ju4	pào mò jù
泡沫化	pfdo-rewhuds	pao4 mo4 hua4	pào mò huà
泡沫厂	pfdo-rew8ss/	pao4 mo4 chang3	pào mò chǎng
泡沫吧	pfdo-rewbddd	pao4 mo4 ba5	pào mò ba
泡沫啊	pfdo-rew'ddd	pao4 mo4 a5	pào mò a
泡沫块	pfdo-rewqudl	pao4 mo4 kuai4	pào mò kuài
泡沫型	pfdo-rew1le;	pao4 mo4 xing2	pào mò xíng
泡沫垫	pfdo-rew]jdz	pao4 mo4 dian4	pào mò diàn
泡沫基	pfdo-rew3jjj	pao4 mo4 ji1	pào mò jī
泡沫塑料	pfdo-rew4uio\jdo	pao4 mo4 su4 liao4	pào mò sù liào
泡沫多	pfdo-rew]urr	pao4 mo4 duo1	pào mò duō
泡沫大	pfdo-rew]fds	pao4 mo4 da4	pào mò dà
泡沫少	pfdo-rew9sso	pao4 mo4 shao3	pào mò shǎo
泡沫尿	pfdo-rewnjdo	pao4 mo4 niao4	pào mò niào
泡沫层	pfdo-rew5we;	pao4 mo4 ceng2	pào mò céng
泡沫岩	pfdo-rewylda	pao4 mo4 yan2	pào mò yán
泡沫底	pfdo-rew]lll	pao4 mo4 di3	pào mò dǐ
泡沫式	pfdo-rew9JKL	pao4 mo4 shi4	pào mò shì
泡沫期	pfdo-rew2jjj	pao4 mo4 qi1	pào mò qī
泡沫机	pfdo-rew3jjj	pao4 mo4 ji1	pào mò jī
泡沫板	pfdo-rewbssz	pao4 mo4 ban3	pào mò bǎn
泡沫枪	pfdo-rew2jf;	pao4 mo4 qiang1	pào mò qiāng
泡沫栓	pfdo-rew9ufa	pao4 mo4 shuan1	pào mò shuān
泡沫样	pfdo-rewyjd/	pao4 mo4 yang4	pào mò yàng
泡沫棒	pfdo-rewbfd/	pao4 mo4 bang4	pào mò bàng
泡沫水	pfdo-rew9oxl	pao4 mo4 shui3	pào mò shuǐ
泡沫浴	pfdo-rew`m,.	pao4 mo4 yu4	pào mò yù
泡沫液	pfdo-rewyjcx	pao4 mo4 ye4	pào mò yè
泡沫炮	pfdo-rewpfdo	pao4 mo4 pao4	pào mò pào
泡沫状	pfdo-rew7ud/	pao4 mo4 zhuang4	pào mò zhuàng
泡沫球	pfdo-rew2leu	pao4 mo4 qiu2	pào mò qiú
泡沫痰	pfdo-rewtsda	pao4 mo4 tan2	pào mò tán
泡沫盒	pfdo-rewhwer	pao4 mo4 he2	pào mò hé
泡沫盾	pfdo-rew]ucz	pao4 mo4 dun4	pào mò dùn
泡沫砖	pfdo-rew7ufa	pao4 mo4 zhuan1	pào mò zhuān
泡沫站	pfdo-rew7fdz	pao4 mo4 zhan4	pào mò zhàn
泡沫箱	pfdo-rew1jf;	pao4 mo4 xiang1	pào mò xiāng
泡沫纸	pfdo-rew7LLL	pao4 mo4 zhi3	pào mò zhǐ
泡沫经济	pfdo-rew3jr;3jkl	pao4 mo4 jing1 ji4	pào mò jīng jì
泡沫胶	pfdo-rew3jfu	pao4 mo4 jiao1	pào mò jiāo
泡沫般	pfdo-rewbffa	pao4 mo4 ban1	pào mò bān
泡沫车	pfdo-rew8rrr	pao4 mo4 che1	pào mò chē
泡沫轴	pfdo-rew7weu	pao4 mo4 zhou2	pào mò zhóu
泡沫镍	pfdo-rewnjcx	pao4 mo4 nie4	pào mò niè
泡澡了	pfdo6sso\eee	pao4 zao3 le5	pào zǎo le
泡烂了	pfdo\fdz\eee	pao4 lan4 le5	pào làn le
泡茶了	pfdo8sdf\eee	pao4 cha2 le5	pào chá le
泡起了	pfdo2lll\eee	pao4 qi3 le5	pào qǐ le
泡软了	pfdo0osz\eee	pao4 ruan3 le5	pào ruǎn le
泡进了	pfdo3jcz\eee	pao4 jin4 le5	pào jìn le
波刺蛾	brrr5JKL'wer	bo1 ci4 e2	bō cì é
波动了	brrr]ue/\eee	bo1 dong4 le5	bō dòng le
波及了	brrr3lkj\eee	bo1 ji2 le5	bō jí le
波澜了	brrr\sda\eee	bo1 lan2 le5	bō lán le
波纹蛾	brrr=oca'wer	bo1 wen2 e2	bō wén é
波网蛾	brrr=os/'wer	bo1 wang3 e2	bō wǎng é
波莫瑞	brrr-rew0ucl	bo1 mo4 rui4	bō mò ruì
泥刺蛾	nlkj5JKL'wer	ni2 ci4 e2	ní cì é
泥炭鳄	nlkjtfdz'rew	ni2 tan4 e4	ní tàn è
泥苔蛾	nlkjtsdj'wer	ni2 tai2 e2	ní tái é
注了水	7uio\eee9oxl	zhu4 le5 shui3	zhù le shuǐ
注入了	7uio0uio\eee	zhu4 ru4 le5	zhù rù le
注册了	7uio5rew\eee	zhu4 ce4 le5	zhù cè le
注定了	7uio]je/\eee	zhu4 ding4 le5	zhù dìng le
注射了	7uio9rew\eee	zhu4 she4 le5	zhù shè le
注意了	7uioyjkl\eee	zhu4 yi4 le5	zhù yì le
注意哦	7uioyjkl'wer	zhu4 yi4 o2	zhù yì ó
注明了	7uio-le;\eee	zhu4 ming2 le5	zhù míng le
注满了	7uio-ssz\eee	zhu4 man3 le5	zhù mǎn le
注视了	7uio9JKL\eee	zhu4 shi4 le5	zhù shì le
注释了	7uio9JKL\eee	zhu4 shi4 le5	zhù shì le
注销了	7uio1jfu\eee	zhu4 xiao1 le5	zhù xiāo le
泪奔了	\vclbvva\eee	lei4 ben1 le5	lèi bēn le
泪崩了	\vclbrr;\eee	lei4 beng1 le5	lèi bēng le
泪暗则而今已拚了	\vcl'fdz6wer'OIU3jvaylllpfdz\eee	lei4 an4 ze2 er2 jin1 yi3 pan4 le5	lèi àn zé ér jīn yǐ pàn le
泪目了	\vcl-uio\eee	lei4 mu4 le5	lèi mù le
泯没	-lxz-rew	min3 mo4	mǐn mò
泯灭了	-lxz-jcx\eee	min3 mie4 le5	mǐn miè le
泯默	-lxz-rew	min3 mo4	mǐn mò
泰夜蛾	tfdlyjcx'wer	tai4 ye4 e2	tài yè é
泰阿	tfdl'rrr	tai4 e1	tài ē
泼上了	prrr9fd/\eee	po1 shang4 le5	pō shàng le
泼了	prrr\eee	po1 le5	pō le
泼到了	prrr]fdo\eee	po1 dao4 le5	pō dào le
泼在了	prrr6fdl\eee	po1 zai4 le5	pō zài le
泼墨	prrr-rew	po1 mo4	pō mò
泼墨法	prrr-rew[sss	po1 mo4 fa3	pō mò fǎ
泼墨画	prrr-rewhuds	po1 mo4 hua4	pō mò huà
泼墨紫	prrr-rew6LLL	po1 mo4 zi3	pō mò zǐ
泼墨门	prrr-rew-xca	po1 mo4 men2	pō mò mén
泼恶	prrr'rew	po1 e4	pō è
泼醒了	prrr1lw/\eee	po1 xing3 le5	pō xǐng le
洁尺蛾	3lcv8LLL'wer	jie2 chi3 e2	jié chǐ é
洇湿了	yjva9JJJ\eee	yin1 shi1 le5	yīn shī le
洋场恶少	yld;8ss/'rew9fdo	yang2 chang3 e4 shao4	yáng chǎng è shào
洋墨水	yld;-rew9oxl	yang2 mo4 shui3	yáng mò shuǐ
洋气哦	yld;2jkl'wer	yang2 qi4 o2	yáng qì ó
洋葱末	yld;5ur;-rew	yang2 cong1 mo4	yáng cōng mò
洒上了	4sss9fd/\eee	sa3 shang4 le5	sǎ shàng le
洒下了	4sss1jds\eee	sa3 xia4 le5	sǎ xià le
洒了	4sss\eee	sa3 le5	sǎ le
洒到了	4sss]fdo\eee	sa3 dao4 le5	sǎ dào le
洒在了	4sss6fdl\eee	sa3 zai4 le5	sǎ zài le
洒墨	4sss-rew	sa3 mo4	sǎ mò
洒满了	4sss-ssz\eee	sa3 man3 le5	sǎ mǎn le
洒落了	4sss\uew\eee	sa3 luo4 le5	sǎ luò le
洒进了	4sss3jcz\eee	sa3 jin4 le5	sǎ jìn le
洗了	1lll\eee	xi3 le5	xǐ le
洗了个	1lll\eeegrew	xi3 le5 ge4	xǐ le gè
洗了吗	1lll\eee-ddd	xi3 le5 ma5	xǐ le ma
洗了吧	1lll\eeebddd	xi3 le5 ba5	xǐ le ba
洗了头	1lll\eeetweu	xi3 le5 tou2	xǐ le tóu
洗了洗	1lll\eee1lll	xi3 le5 xi3	xǐ le xǐ
洗了澡	1lll\eee6sso	xi3 le5 zao3	xǐ le zǎo
洗了睡	1lll\eee9ucl	xi3 le5 shui4	xǐ le shuì
洗了脑	1lll\eeensso	xi3 le5 nao3	xǐ le nǎo
洗了脚	1lll\eee3lso	xi3 le5 jiao3	xǐ le jiǎo
洗了脸	1lll\eee\lsz	xi3 le5 lian3	xǐ le liǎn
洗什么	1lll9xca-eee	xi3 shen2 me5	xǐ shén me
洗净了	1lll3je/\eee	xi3 jing4 le5	xǐ jìng le
洗刷了	1lll9uff\eee	xi3 shua1 le5	xǐ shuā le
洗劫了	1lll3lcv\eee	xi3 jie2 le5	xǐ jié le
洗去了	1lll2m,.\eee	xi3 qu4 le5	xǐ qù le
洗地了	1lll]jkl\eee	xi3 di4 le5	xǐ dì le
洗坏了	1lllhudl\eee	xi3 huai4 le5	xǐ huài le
洗墨池	1lll-rew8LKJ	xi3 mo4 chi2	xǐ mò chí
洗头了	1llltweu\eee	xi3 tou2 le5	xǐ tóu le
洗好了	1lllhsso\eee	xi3 hao3 le5	xǐ hǎo le
洗完了	1lll=oda\eee	xi3 wan2 le5	xǐ wán le
洗手了	1lll9wwo\eee	xi3 shou3 le5	xǐ shǒu le
洗掉了	1lll]jdo\eee	xi3 diao4 le5	xǐ diào le
洗末煤	1lll-rew-xcj	xi3 mo4 mei2	xǐ mò méi
洗涤了	1lll]lkj\eee	xi3 di2 le5	xǐ dí le
洗清了	1lll2jr;\eee	xi3 qing1 le5	xǐ qīng le
洗漱了	1lll9uio\eee	xi3 shu4 le5	xǐ shù le
洗澡了	1lll6sso\eee	xi3 zao3 le5	xǐ zǎo le
洗牙了	1lllyldf\eee	xi3 ya2 le5	xǐ yá le
洗白了	1lllbsdj\eee	xi3 bai2 le5	xǐ bái le
洗碗了	1lll=osz\eee	xi3 wan3 le5	xǐ wǎn le
洗礼了	1lll\lll\eee	xi3 li3 le5	xǐ lǐ le
洗空了	1lllqur;\eee	xi3 kong1 le5	xǐ kōng le
洗脑了	1lllnsso\eee	xi3 nao3 le5	xǐ nǎo le
洗脚了	1lll3lso\eee	xi3 jiao3 le5	xǐ jiǎo le
洗脱了	1lllturr\eee	xi3 tuo1 le5	xǐ tuō le
洗脸了	1lll\lsz\eee	xi3 lian3 le5	xǐ liǎn le
洗起了	1lll2lll\eee	xi3 qi3 le5	xǐ qǐ le
洗车了	1lll8rrr\eee	xi3 che1 le5	xǐ chē le
洗过了	1lllguew\eee	xi3 guo4 le5	xǐ guò le
洗锅了	1lllgurr\eee	xi3 guo1 le5	xǐ guō le
洛厄尔	\uew'rew'OOO	luo4 e4 er3	luò è ěr
洛阳陌	\uewyld;-rew	luo4 yang2 mo4	luò yáng mò
洛马鳄	\uew-sss'rew	luo4 ma3 e4	luò mǎ è
洛默湖	\uew-rewhoiu	luo4 mo4 hu2	luò mò hú
洝	'rew	e4	è
洞了	]ue/\eee	dong4 le5	dòng le
洞察了	]ue/8sdf\eee	dong4 cha2 le5	dòng chá le
洞府了	]ue/[ooo\eee	dong4 fu3 le5	dòng fǔ le
洞悉了	]ue/1jjj\eee	dong4 xi1 le5	dòng xī le
洞房了	]ue/[sd;\eee	dong4 fang2 le5	dòng fáng le
洞穿了	]ue/8ufa\eee	dong4 chuan1 le5	dòng chuān le
津沫	3jva-rew	jin1 mo4	jīn mò
洪舟蛾	hoe;7rru'wer	hong2 zhou1 e2	hóng zhōu é
洱尺蛾	'OOO8LLL'wer	er3 chi3 e2	ěr chǐ é
活久了	hoer3lwo\eee	huo2 jiu3 le5	huó jiǔ le
活了	hoer\eee	huo2 le5	huó le
活了么	hoer\eee-eee	huo2 le5 me5	huó le me
活了吧	hoer\eeebddd	huo2 le5 ba5	huó le ba
活了啊	hoer\eee'ddd	huo2 le5 a5	huó le a
活出了	hoer8uuu\eee	huo2 chu1 le5	huó chū le
活到了	hoer]fdo\eee	huo2 dao4 le5	huó dào le
活剐了	hoergoss\eee	huo2 gua3 le5	huó guǎ le
活剥了	hoerbrrr\eee	huo2 bo1 le5	huó bō le
活动了	hoer]ue/\eee	huo2 dong4 le5	huó dòng le
活动咯	hoer]ue/\eee	huo2 dong4 lo5	huó dòng lo
活吞了	hoertuva\eee	huo2 tun1 le5	huó tūn le
活命了	hoer-je/\eee	huo2 ming4 le5	huó mìng le
活在了	hoer6fdl\eee	huo2 zai4 le5	huó zài le
活埋了	hoer-sdj\eee	huo2 mai2 le5	huó mái le
活多了	hoer]urr\eee	huo2 duo1 le5	huó duō le
活够了	hoergreo\eee	huo2 gou4 le5	huó gòu le
活干了	hoergfdz\eee	huo2 gan4 le5	huó gàn le
活成了	hoer8we;\eee	huo2 cheng2 le5	huó chéng le
活捉了	hoer7urr\eee	huo2 zhuo1 le5	huó zhuō le
活撕了	hoer4JJJ\eee	huo2 si1 le5	huó sī le
活泛了	hoer[fdz\eee	huo2 fan4 le5	huó fàn le
活泼了	hoerprrr\eee	huo2 po1 le5	huó pō le
活物了	hoer=uio\eee	huo2 wu4 le5	huó wù le
活着了	hoer7eee\eee	huo2 zhe5 le5	huó zhe le
活络了	hoer\uew\eee	huo2 luo4 le5	huó luò le
活腻了	hoernjkl\eee	huo2 ni4 le5	huó nì le
活计了	hoer3kkk\eee	huo2 ji5 le5	huó ji le
活该了	hoergffj\eee	huo2 gai1 le5	huó gāi le
活跃了	hoer`mcx\eee	huo2 yue4 le5	huó yuè le
活路了	hoer\uio\eee	huo2 lu4 le5	huó lù le
活过了	hoerguew\eee	huo2 guo4 le5	huó guò le
活额虾	hoer'wer1jff	huo2 e2 xia1	huó é xiā
洽谈了	2jdstsda\eee	qia4 tan2 le5	qià tán le
派上了	pfdl9fd/\eee	pai4 shang4 le5	pài shàng le
派了	pfdl\eee	pai4 le5	pài le
派了吧	pfdl\eeebddd	pai4 le5 ba5	pài le ba
派克鳄	pfdlqrew'rew	pai4 ke4 e4	pài kè è
派出了	pfdl8uuu\eee	pai4 chu1 le5	pài chū le
派到了	pfdl]fdo\eee	pai4 dao4 le5	pài dào le
派去了	pfdl2m,.\eee	pai4 qu4 le5	pài qù le
派发了	pfdl[fff\eee	pai4 fa1 le5	pài fā le
派头了	pfdltweu\eee	pai4 tou2 le5	pài tóu le
派来了	pfdl\sdj\eee	pai4 lai2 le5	pài lái le
派遣了	pfdl2lsz\eee	pai4 qian3 le5	pài qiǎn le
流下了	\leu1jds\eee	liu2 xia4 le5	liú xià le
流了	\leu\eee	liu2 le5	liú le
流了吧	\leu\eeebddd	liu2 le5 ba5	liú le ba
流了泪	\leu\eee\vcl	liu2 le5 lei4	liú le lèi
流了血	\leu\eee1mcx	liu2 le5 xue4	liú le xuè
流产了	\leu8ssz\eee	liu2 chan3 le5	liú chǎn le
流传了	\leu8oda\eee	liu2 chuan2 le5	liú chuán le
流光了	\leuguf;\eee	liu2 guang1 le5	liú guāng le
流入了	\leu0uio\eee	liu2 ru4 le5	liú rù le
流出了	\leu8uuu\eee	liu2 chu1 le5	liú chū le
流到了	\leu]fdo\eee	liu2 dao4 le5	liú dào le
流动了	\leu]ue/\eee	liu2 dong4 le5	liú dòng le
流去了	\leu2m,.\eee	liu2 qu4 le5	liú qù le
流向了	\leu1jd/\eee	liu2 xiang4 le5	liú xiàng le
流失了	\leu9JJJ\eee	liu2 shi1 le5	liú shī le
流完了	\leu=oda\eee	liu2 wan2 le5	liú wán le
流尽了	\leu3jcz\eee	liu2 jin4 le5	liú jìn le
流干了	\leugffa\eee	liu2 gan1 le5	liú gān le
流弊了	\leubjkl\eee	liu2 bi4 le5	liú bì le
流成了	\leu8we;\eee	liu2 cheng2 le5	liú chéng le
流掉了	\leu]jdo\eee	liu2 diao4 le5	liú diào le
流放了	\leu[fd/\eee	liu2 fang4 le5	liú fàng le
流末	\leu-rew	liu2 mo4	liú mò
流氓了	\leu-sd;\eee	liu2 mang2 le5	liú máng le
流汗了	\leuhfdz\eee	liu2 han4 le5	liú hàn le
流沫	\leu-rew	liu2 mo4	liú mò
流泪了	\leu\vcl\eee	liu2 lei4 le5	liú lèi le
流浪了	\leu\fd/\eee	liu2 lang4 le5	liú làng le
流淌了	\leutss/\eee	liu2 tang3 le5	liú tǎng le
流满了	\leu-ssz\eee	liu2 man3 le5	liú mǎn le
流畅了	\leu8fd/\eee	liu2 chang4 le5	liú chàng le
流石蛾	\leu9LKJ'wer	liu2 shi2 e2	liú shí é
流程了	\leu8we;\eee	liu2 cheng2 le5	liú chéng le
流血了	\leu1mcx\eee	liu2 xue4 le5	liú xuè le
流行了	\leu1le;\eee	liu2 xing2 le5	liú xíng le
流言了	\leuylda\eee	liu2 yan2 le5	liú yán le
流走了	\leu6wwo\eee	liu2 zou3 le5	liú zǒu le
流起了	\leu2lll\eee	liu2 qi3 le5	liú qǐ le
流过了	\leuguew\eee	liu2 guo4 le5	liú guò le
流进了	\leu3jcz\eee	liu2 jin4 le5	liú jìn le
流连了	\leu\lda\eee	liu2 lian2 le5	liú lián le
流逝了	\leu9JKL\eee	liu2 shi4 le5	liú shì le
流遍了	\leubjdz\eee	liu2 bian4 le5	liú biàn le
流露了	\leu\uio\eee	liu2 lu4 le5	liú lù le
浄了	3je/\eee	jing4 le5	jìng le
浅末	2lsz-rew	qian3 mo4	qiǎn mò
浅白了	2lszbsdj\eee	qian3 bai2 le5	qiǎn bái le
浅看了	2lszqfdz\eee	qian3 kan4 le5	qiǎn kàn le
浅笑了	2lsz1jdo\eee	qian3 xiao4 le5	qiǎn xiào le
浅薄了	2lszbwer\eee	qian3 bo2 le5	qiǎn bó le
浅酌了	2lsz7oer\eee	qian3 zhuo2 le5	qiǎn zhuó le
浆糊了	3jf;hoiu\eee	jiang1 hu2 le5	jiāng hú le
浇上了	3jfu9fd/\eee	jiao1 shang4 le5	jiāo shàng le
浇到了	3jfu]fdo\eee	jiao1 dao4 le5	jiāo dào le
浇多了	3jfu]urr\eee	jiao1 duo1 le5	jiāo duō le
浇完了	3jfu=oda\eee	jiao1 wan2 le5	jiāo wán le
浇末	3jfu-rew	jiao1 mo4	jiāo mò
浇水了	3jfu9oxl\eee	jiao1 shui3 le5	jiāo shuǐ le
浇湿了	3jfu9JJJ\eee	jiao1 shi1 le5	jiāo shī le
浇灌了	3jfugudz\eee	jiao1 guan4 le5	jiāo guàn le
浇灭了	3jfu-jcx\eee	jiao1 mie4 le5	jiāo miè le
浇熄了	3jfu1jjj\eee	jiao1 xi1 le5	jiāo xī le
浇讹	3jfu'wer	jiao1 e2	jiāo é
浇透了	3jfutreo\eee	jiao1 tou4 le5	jiāo tòu le
浇醒了	3jfu1lw/\eee	jiao1 xing3 le5	jiāo xǐng le
浇饭了	3jfu[fdz\eee	jiao1 fan4 le5	jiāo fàn le
浊恶世	7oer'rew9JKL	zhuo2 e4 shi4	zhuó è shì
测了	5rew\eee	ce4 le5	cè le
测了测	5rew\eee5rew	ce4 le5 ce4	cè le cè
测什么	5rew9xca-eee	ce4 shen2 me5	cè shén me
测出了	5rew8uuu\eee	ce4 chu1 le5	cè chū le
测到了	5rew]fdo\eee	ce4 dao4 le5	cè dào le
测完了	5rew=oda\eee	ce4 wan2 le5	cè wán le
测试了	5rew9JKL\eee	ce4 shi4 le5	cè shì le
测量了	5rew\ld;\eee	ce4 liang2 le5	cè liáng le
济恶	3jkl'rew	ji4 e4	jì è
浏览了	\leu\ssz\eee	liu2 lan3 le5	liú lǎn le
浑噩	hoca'rew	hun2 e4	hún è
浑忘了	hoca=ud/\eee	hun2 wang4 le5	hún wàng le
浑水摸鱼	hoca9oxl-rrr`.,m	hun2 shui3 mo1 yu2	hún shuǐ mō yú
浑浊了	hoca7oer\eee	hun2 zhuo2 le5	hún zhuó le
浑浑噩噩	hocahoca'rew'rew	hun2 hun2 e4 e4	hún hún è è
浓了些	noe;\eee1jvv	nong2 le5 xie1	nóng le xiē
浓了吧	noe;\eeebddd	nong2 le5 ba5	nóng le ba
浓厚了	noe;hreo\eee	nong2 hou4 le5	nóng hòu le
浓墨	noe;-rew	nong2 mo4	nóng mò
浓墨重彩	noe;-rew7ue/5ssl	nong2 mo4 zhong4 cai3	nóng mò zhòng cǎi
浓多了	noe;]urr\eee	nong2 duo1 le5	nóng duō le
浓妆淡抹	noe;7uf;]fdz-rew	nong2 zhuang1 dan4 mo4	nóng zhuāng dàn mò
浓抹淡妆	noe;-rew]fdz7uf;	nong2 mo4 dan4 zhuang1	nóng mò dàn zhuāng
浓烈了	noe;\jcx\eee	nong2 lie4 le5	nóng liè le
浓稠了	noe;8weu\eee	nong2 chou2 le5	nóng chóu le
浓缩了	noe;4urr\eee	nong2 suo1 le5	nóng suō le
浓郁了	noe;`m,.\eee	nong2 yu4 le5	nóng yù le
浓重了	noe;7ue/\eee	nong2 zhong4 le5	nóng zhòng le
浙大了	7rew]fds\eee	zhe4 da4 le5	zhè dà le
浪了	\fd/\eee	lang4 le5	làng le
浪去了	\fd/2m,.\eee	lang4 qu4 le5	làng qù le
浪够了	\fd/greo\eee	lang4 gou4 le5	làng gòu le
浪完了	\fd/=oda\eee	lang4 wan2 le5	làng wán le
浪死了	\fd/4LLL\eee	lang4 si3 le5	làng sǐ le
浪沫	\fd/-rew	lang4 mo4	làng mò
浪漫了	\fd/-fdz\eee	lang4 man4 le5	làng màn le
浪费了	\fd/[vcl\eee	lang4 fei4 le5	làng fèi le
浮上了	[oiu9fd/\eee	fu2 shang4 le5	fú shàng le
浮出了	[oiu8uuu\eee	fu2 chu1 le5	fú chū le
浮在了	[oiu6fdl\eee	fu2 zai4 le5	fú zài le
浮末	[oiu-rew	fu2 mo4	fú mò
浮沫	[oiu-rew	fu2 mo4	fú mò
浮满了	[oiu-ssz\eee	fu2 man3 le5	fú mǎn le
浮现了	[oiu1jdz\eee	fu2 xian4 le5	fú xiàn le
浮笔浪墨	[oiublll\fd/-rew	fu2 bi3 lang4 mo4	fú bǐ làng mò
浮肿了	[oiu7ow/\eee	fu2 zhong3 le5	fú zhǒng le
浮讹	[oiu'wer	fu2 e2	fú é
浮起了	[oiu2lll\eee	fu2 qi3 le5	fú qǐ le
浮躁了	[oiu6fdo\eee	fu2 zao4 le5	fú zào le
浴室了	`m,.9JKL\eee	yu4 shi4 le5	yù shì le
海南了	hsslnsda\eee	hai3 nan2 le5	hǎi nán le
海厄特	hssl'rewtrew	hai3 e4 te4	hǎi è tè
海城了	hssl8we;\eee	hai3 cheng2 le5	hǎi chéng le
海氏鳄	hssl9JKL'rew	hai3 shi4 e4	hǎi shì è
海滨鳄	hsslbjva'rew	hai3 bin1 e4	hǎi bīn è
海磨坊	hssl-rew[sd;	hai3 mo4 fang2	hǎi mò fáng
海蛾鱼	hssl'wer`.,m	hai3 e2 yu2	hǎi é yú
海里了	hssl\lll\eee	hai3 li3 le5	hǎi lǐ le
海默症	hssl-rew7re/	hai3 mo4 zheng4	hǎi mò zhèng
浸入了	3jcz0uio\eee	jin4 ru4 le5	jìn rù le
浸出了	3jcz8uuu\eee	jin4 chu1 le5	jìn chū le
浸染了	3jcz0ssz\eee	jin4 ran3 le5	jìn rǎn le
浸没	3jcz-rew	jin4 mo4	jìn mò
浸没式	3jcz-rew9JKL	jin4 mo4 shi4	jìn mò shì
浸没泵	3jcz-rewbre/	jin4 mo4 beng4	jìn mò bèng
浸泡了	3jczpfdo\eee	jin4 pao4 le5	jìn pào le
浸润了	3jcz0ucz\eee	jin4 run4 le5	jìn rùn le
浸淫了	3jczylca\eee	jin4 yin2 le5	jìn yín le
浸湿了	3jcz9JJJ\eee	jin4 shi1 le5	jìn shī le
浸满了	3jcz-ssz\eee	jin4 man3 le5	jìn mǎn le
浸透了	3jcztreo\eee	jin4 tou4 le5	jìn tòu le
涂上了	toiu9fd/\eee	tu2 shang4 le5	tú shàng le
涂了	toiu\eee	tu2 le5	tú le
涂多了	toiu]urr\eee	tu2 duo1 le5	tú duō le
涂好了	toiuhsso\eee	tu2 hao3 le5	tú hǎo le
涂完了	toiu=oda\eee	tu2 wan2 le5	tú wán le
涂成了	toiu8we;\eee	tu2 cheng2 le5	tú chéng le
涂抹了	toiu-www\eee	tu2 mo3 le5	tú mǒ le
涂掉了	toiu]jdo\eee	tu2 diao4 le5	tú diào le
涂满了	toiu-ssz\eee	tu2 man3 le5	tú mǎn le
涂陌	toiu-rew	tu2 mo4	tú mò
涂黑了	toiuhvvj\eee	tu2 hei1 le5	tú hēi le
涅墨	njcx-rew	nie4 mo4	niè mò
消了	1jfu\eee	xiao1 le5	xiāo le
